company,location,layoff_count,date,pct_workforce,industry,source_url,stage,raised_mm,country,is_ai_company
SumUp,Sao Paulo Non-U.S.,100.0,2022-05-30,3%,Finance,https://financefwd.com/de/su mup-entlassungen-brasilien/,Unknown, $50.00 ,Brazil,False
Mobile Premier League,Bengaluru Non-U.S.,100.0,2022-05-30,10%,Consumer,https://www.moneycontrol.co m/news/business/startup/excl usive-mobile-premier-league- to-lay-off-100-employees- exit-indonesia-market- 8603881.html,Series E, $375.00 ,India,False
SWVL,Dubai Non-U.S.,400.0,2022-05-30,32%,Transportat…,https://techcrunch.com/2022/ 05/30/swvl-plans-to-lay-off- 32-of-its-team-two-months- after-going-public/,Post-IPO, $132.00 ,United Arab E…,False
Cerebral,SF Bay Area,,2022-05-31,,Healthcare,https://www.bloomberg.com/ news/articles/2022-05- 31/cerebral-announces- layoffs-amid-script-cutbacks- legal-probe#xj4y7vzkg,Series C, $462.00 ,United States,False
BookClub,Salt Lake City,12.0,2022-05-31,25%,Education,Internal memo,Series A, $26.00 ,United States,False
Getta,Tel Aviv Non-U.S.,30.0,2022-05-31,,Transportat…,https://www.themarker.com/te chnation/2022-05-31/ty- article/.premium/00000181- 18d2-d57f-afc1- b8d762210000,Series A, $49.00 ,Israel,False
Tomo,Stamford,44.0,2022-05-31,33%,Finance,https://www.businessinsider.c om/purchase-mortgage- company-tomo-lays-off-staff- housing-market-slows-2022-5,Series A, $110.00 ,United States,False
Replicated,Los Angeles,50.0,2022-05-31,,Infrastructu…,https://www.replicated.com/bl og/a-message-from- replicateds-ceo/,Series C, $85.00 ,United States,False
Playtika,Tel Aviv Non-U.S.,250.0,2022-05-31,6%,Consumer,https://en.globes.co.il/en/articl e-israeli-mobile-games-co- playtika-to-lay-off-250- 1001413811,Post-IPO,,Israel,False
BlockFi,New York City,250.0,2022-06-13,20%,Crypto,https://blockfi.com/a- message-from-our-founders,Series E," $1,000.00 ",United States,True
Wave Sports and Entertainment,Los Angeles,56.0,2022-06-13,33%,Media,https://dot.la/wave-sports- entertainment-layoffs- 2657504206.html,Series B, $65.00 ,United States,True
Studio,SF Bay Area,33.0,2022-06-13,40%,Education,Internal memo,Series B, $50.00 ,United States,False
Automox,Boulder,,2022-06-13,,Infrastructu…,https://www.linkedin.com/post s/automox_today-due-to-the- broader-economic-climate- activity- 6942147336605233152-S-xy/,Series C, $152.00 ,United States,False
Desktop Metal,Boston,,2022-06-13,12%,Other,https://www.marketwatch.com /amp/story/desktop-metal-to- lay-off-about-12-of- workforce-271655121739,Post-IPO, $811.00 ,United States,True
Shopee,Singapore Non-U.S.,,2022-06-14,,Food,https://asia.nikkei.com/Spotlig ht/DealStreetAsia/Sea-s-e- commerce-arm-Shopee-to- cut-staff-across-Southeast- Asia,Unknown,,Singapore,False
Addi,Bogota Non-U.S.,,2022-06-14,,Finance,https://www.bloomberglinea.c om/english/colombian- startups-addi-hunty-confirm- layoffs-as-merqueo-exits- mexico,Series C, $376.00 ,Colombia,False
TIFIN,Boulder,24.0,2022-06-14,10%,Crypto,https://www.axios.com/pro/fin tech- deals/2022/06/14/coinbases- layoffs-hiring-freeze,Series D, $204.00 ,United States,True
Hunty,Bogota Non-U.S.,30.0,2022-06-14,,HR,https://www.bloomberglinea.c om/english/colombian- startups-addi-hunty-confirm- layoffs-as-merqueo-exits- mexico,Seed, $6.00 ,Colombia,False
Breathe,New Delhi Non-U.S.,50.0,2022-06-14,33%,Healthcare,https://inc42.com/buzz/accel- backed-breathe-well-being- lays-off-50-employees/,Series A, $6.00 ,India,False
Sami,Sao Paulo Non-U.S.,75.0,2022-06-14,15%,Healthcare,https://braziljournal.com/sami -demite-15-para-conter- queima-de-caixa/,Unknown, $36.00 ,Brazil,False
Compass,New York City,450.0,2022-06-14,10%,Real Estate,https://www.bloomberg.com/ news/articles/2022-06- 14/compass-to-cut-about-10- of-workforce-amid-us- housing-slowdown#xj4y7vzkg,Post-IPO," $1,600.00 ",United States,False
Redfin,Seattle,470.0,2022-06-14,8%,Real Estate,https://www.streetinsider.com /dr/news.php? id=20212223&gfv=1,Post-IPO, $319.00 ,United States,False
Coinbase,SF Bay Area,1100.0,2022-06-14,18%,Crypto,https://www.cnbc.com/2022/0 6/14/coinbase-lays-off- 18percent-as-execs-prepare- for-recession-crypto- winter.html,Post-IPO, $549.00 ,United States,True
Swappie,Helsinki Non-U.S.,250.0,2022-06-15,17%,Retail,https://swappie.com/fi/blogi/v iesti-swappien- toimitusjohtajalta/,Series C, $169.00 ,Finland,False
Wealthsimple,Toronto Non-U.S.,159.0,2022-06-15,13%,Finance,https://www.piquenewsmagazi ne.com/national- business/wealthsimple-to- layoff-13-of-staff-amid- market-volatility-5481248,Unknown, $900.00 ,Canada,False
Weee!,SF Bay Area,150.0,2022-06-15,10%,Food,https://www.businessinsider.c om/softbank-backed-grocer- weee-laid-off-10-percent-of- its-staff-amid-a-slowdown-in- online-grocery-2022-6,Series E, $863.00 ,United States,False
Elementor,Tel Aviv Non-U.S.,60.0,2022-06-15,15%,Media,https://en.globes.co.il/en/articl e-elementor-begins-laying- off-15-of-workforce- 1001415176,Unknown, $65.00 ,Israel,False
Notarize,Boston,110.0,2022-06-15,25%,Legal,https://www.bizjournals.com/b oston/news/2022/06/15/notar ize-cuts-25-of-staff-in-latest- tech-layoff.html,Series D, $213.00 ,United States,False
Airtame,Copenhagen Non-U.S.,15.0,2022-06-15,,Consumer,Internal memo,Unknown, $7.00 ,Denmark,True
JetClosing,Seattle,,2022-06-15,100%,Real Estate,https://www.geekwire.com/20 22/seattle-startup-jetclosing- which-launched-in-2016-to- digitize-home-closing- process-is-shutting-down/,Series B, $44.00 ,United States,False
OpenWeb,Tel Aviv Non-U.S.,14.0,2022-06-15,5%,Media,https://en.globes.co.il/en/articl e-openweb-announces- streamlining-plan-including- layoffs-1001415224,Series E, $223.00 ,Israel,False
Swyft,Toronto Non-U.S.,10.0,2022-06-15,30%,Logistics,https://www.theglobeandmail. com/business/technology/arti cle-shopify-backed- ecommerce-delivery-startup- swyft-latest-canadian-tech/,Series A, $20.00 ,Canada,False
Crehana,Lima Non-U.S.,,2022-06-15,,Education,https://www.bloomberglinea.c om/2022/06/15/crehana- confirma-que-hizo-despidos- pero-desliga-la-decision-a- crisis-de-startups/,Series B, $93.00 ,Peru,False
Tonkean,SF Bay Area,23.0,2022-06-15,23%,Other,https://www.themarker.com/te chnation/ty- article/.premium/00000181- 6871-dedd-ab9f- e9ff49480000,Series B, $83.00 ,United States,False
Circulo Health,Columbus,,2022-06-16,50%,Healthcare,https://www.axios.com/pro/he alth-tech- deals/2022/06/16/circulo- health-layoffs,Series A, $50.00 ,United States,False
PharmEasy,Mumbai Non-U.S.,40.0,2022-06-16,,Healthcare,https://inc42.com/buzz/ipo- bound-pharmeasy-lays-off- 40-employees-from-docon/,Unknown," $1,600.00 ",India,False
Zumper,SF Bay Area,45.0,2022-06-16,15%,Real Estate,https://therealdeal.com/2022/ 06/16/zumper-slashes-15-of- staff/,Series D, $178.00 ,United States,False
JOKR,New York City,50.0,2022-06-16,5%,Food,https://techcrunch.com/2022/ 06/16/jokr-grocery-delivery- leaving-us-latin-america/,Series B, $430.00 ,United States,False
Bytedance,Shanghai Non-U.S.,150.0,2022-06-17,,Consumer,https://www.bloomberg.com/ news/articles/2022-06- 17/bytedance-disbands- shanghai-games-studio-in- expansion-setback#xj4y7vzkg,Unknown," $9,400.00 ",China,False
Finite State,Columbus,16.0,2022-06-17,20%,Security,https://www.bizjournals.com/c olumbus/inno/stories/news/20 22/06/17/startup-finite-state- layoffs.html,Series B, $49.00 ,United States,True
Socure,Reno,69.0,2022-06-17,13%,Finance,https://www.forbes.com/sites/j effkauflin/2022/06/17/high- flying-unicorn-socure-lays-off- 13-of-staff-as-troubles-in- fintech-spread/? sh=527a320b606c,Series E, $646.00 ,United States,False
Unacademy,Bengaluru Non-U.S.,150.0,2022-06-18,3%,Education,https://www.moneycontrol.co m/news/business/startup/soft bank-backed-unacademy- lays-off-another-150- employees-8703281.html,Series H, $838.00 ,India,False
BitOasis,Dubai Non-U.S.,9.0,2022-06-19,5%,Crypto,https://www.reuters.com/mark ets/rates-bonds/middle-east- focused-crypto-firm-bitoasis- cuts-jobs-amid-sector- turmoil-2022-06-19/,Series B, $30.00 ,United Arab E…,True
CityMall,Gurugram Non-U.S.,191.0,2022-06-19,30%,Retail,https://techcrunch.com/2022/ 06/19/indias-citymall-cuts- 191-jobs-following-75- million-fundraise-in-late- march/,Series C, $112.00 ,India,False
Trax,Singapore Non-U.S.,100.0,2022-06-20,12%,Retail,https://en.globes.co.il/en/articl e-retail-analytics-co-trax- laying-off-over-100- 1001415644,Series E," $1,000.00 ",Singapore,False
Aqgromalin,Chennai Non-U.S.,80.0,2022-06-20,30%,Food,https://inc42.com/buzz/exclusi ve-sequoia-backed- aqgromalin-lays-off-30- workforce/,Unknown, $12.00 ,India,False
SummerBio,SF Bay Area,101.0,2022-06-20,100%,Healthcare,https://www.bizjournals.com/s anfrancisco/inno/stories/news /2022/06/20/covid-testing- startup-summerbio-is-cutting- jobs.html,Unknown, $7.00 ,United States,False
Brighte,Sydney Non-U.S.,30.0,2022-06-20,15%,Energy,https://www.startupdaily.net/t opic/fintech/renewables- fintech-brighte-powers-down- shedding-15-of-its-team/,Series C, $145.00 ,Australia,False
Bybit,Singapore Non-U.S.,,2022-06-20,,Crypto,https://twitter.com/WuBlockch ain/status/1538807715861962 752,Unknown,,Singapore,True
Bonsai,Toronto Non-U.S.,30.0,2022-06-20,55%,Retail,https://betakit.com/torontos- bonsai-lays-off-staff-for- second-time-in-two-months/,Series A, $27.00 ,Canada,True
Buzzer,New York City,,2022-06-20,20%,Media,https://www.sportico.com/busi ness/tech/2022/buzzer- layoffs-20-million-funding- 1234679187/,Unknown, $32.00 ,United States,False
Tray.io,SF Bay Area,,2022-06-21,10%,Data,Internal memo,Series C, $109.00 ,United States,True
SuperLearn,Bengaluru Non-U.S.,,2022-06-21,100%,Education,https://inc42.com/buzz/anoth er-edtech-startup-bites-the- dust-bengaluru-based- superlearn-shuts-shop/,Seed, $0.00 ,India,False
Frubana,Bogota Non-U.S.,,2022-06-21,3%,Food,https://www.bloomberglinea.c om/english/ebanx-frubana- layoff-staff-as-latam-startups- feel-market-backdrop/,Series C, $202.00 ,Colombia,False
Sourcegraph,SF Bay Area,24.0,2022-06-21,8%,Product,https://newsletter.pragmaticen gineer.com/p/the-scoop-15,Series D, $248.00 ,United States,False
Community,Los Angeles,40.0,2022-06-21,30%,Marketing,https://www.businessinsider.c om/creator-celeb-text- messaging-platform- community-has-layoffs-2022- 6,Unknown, $40.00 ,United States,False
TaskUs,Los Angeles,52.0,2022-06-21,0%,Support,Internal memo,Post-IPO, $279.00 ,United States,False
Ebanx,Curitiba Non-U.S.,340.0,2022-06-21,20%,Finance,https://www.reuters.com/tech nology/brazils-ebanx-lays-off- 20-employees-cuts-sweep- tech-sector-2022-06-21/,Series B, $460.00 ,Brazil,False
Bungalow,SF Bay Area,70.0,2022-06-22,,Real Estate,Internal memo,Series C, $171.00 ,United States,False
Sprinklr,New York City,50.0,2022-06-22,,Support,https://www.businessinsider.c om/sprinklr-layoff-marketing- department-martech-2022-7,Post-IPO, $429.00 ,United States,False
Superpedestrian,Boston,35.0,2022-06-22,7%,Transportat…,https://techcrunch.com/2022/ 06/22/superpedestrian-voi- among-the-latest- micromobility-layoffs/,Series C, $261.00 ,United States,False
MasterClass,SF Bay Area,120.0,2022-06-22,20%,Education,https://techcrunch.com/2022/ 06/22/masterclass-cuts-20-of- 600-person-staff-to-get-to- self-sustainability-faster/,Series E, $461.00 ,United States,False
Balto,St. Louis,30.0,2022-06-22,,Sales,https://www.bizjournals.com/s tlouis/inno/stories/news/2022 /06/22/software-startup- balto-lays-off-about-30- employees.html,Series B, $51.00 ,United States,False
Voi,Stockholm Non-U.S.,35.0,2022-06-22,10%,Transportat…,https://www.voiscooters.com/ blog/increased-focus-on- profitability/,Series D, $515.00 ,Sweden,False
Voly,Sydney Non-U.S.,,2022-06-22,50%,Food,https://www.smh.com.au/busi ness/entrepreneurship/grocer y-delivery-startup-voly- slashes-operations-as-tech- sector-slumps-20220620- p5av60.html,Seed, $13.00 ,Australia,False
IronNet,Washington D.C.,90.0,2022-06-22,35%,Security,https://www.crn.com/news/se curity/ironnet-lays-off-35- percent-of-staff-raises-going- concern-red-flag,Post-IPO, $410.00 ,United States,True
Mindgeek,Luxembourg Non-U.S.,,2022-06-22,,Media,https://variety.com/2022/digit al/news/pornhub-layoffs- nonconsensual-sex-videos- 1235300666/,Unknown,,Luxembourg,False
Ritual,Toronto Non-U.S.,23.0,2022-06-22,16%,Food,https://www.linkedin.com/fee d/update/urn:li:activity:694541 4597742903297/,Series C, $134.00 ,Canada,False
Netflix,SF Bay Area,300.0,2022-06-23,3%,Media,https://www.cnbc.com/2022/0 6/23/netflix-lays-off-300- more-employees-as-revenue- growth-continues-to- slow.html,Post-IPO," $121,900.00 ",United States,False
Aura,Boston,70.0,2022-06-23,9%,Security,https://www.bankinfosecurity. com/aura-lays-off-70-staff- after-raising-350m-over-past- year-a-19448,Series F, $500.00 ,United States,True
Vouch,SF Bay Area,15.0,2022-06-23,7%,Finance,Internal memo,Series C, $159.00 ,United States,False
Esper,Seattle,,2022-06-23,12%,Other,https://www.geekwire.com/20 22/seattle-startup-esper-cuts- 12-of-staff-citing-current- economic-climate-as-tech- layoffs-continue/,Series A, $10.00 ,United States,False
Pipl,Spokane,22.0,2022-06-23,13%,Security,https://en.globes.co.il/en/articl e-fake-profile-finder-pipl- firing-22-hiring-50- 1001416113,Unknown, $19.00 ,United States,True
Mark43,New York City,,2022-06-23,,Other,https://www.linkedin.com/new s/story/police-tech-startup- cuts-staff-5904746/,Series E, $229.00 ,United States,False
Orchard,New York City,,2022-06-23,10%,Real Estate,https://www.linkedin.com/post s/orchardhomes_it-is-with-a- lot-of-sadness-that-we-share- activity- 6945830698826027008-_3y5/,Series D, $472.00 ,United States,False
Ro,New York City,,2022-06-23,18%,Healthcare,https://techcrunch.com/2022/ 06/23/ro-cuts-18-of-staff- despite-narrowing-focus- raising-additional-capital/,Unknown," $1,000.00 ",United States,False
StreamElements,Tel Aviv Non-U.S.,,2022-06-23,20%,Media,https://esportsinsider.com/202 2/06/streamelements- restructures-20-percent- workforce/,Series B, $111.00 ,Israel,False
Kune,Nairobi Non-U.S.,,2022-06-23,100%,Food,https://www.linkedin.com/post s/robinreecht_sad-day-kune- food-closed-down-today- since-activity- 6945419207807221760-p9K6/,Seed, $1.00 ,Kenya,False
Voyage SMS,Los Angeles,8.0,2022-06-23,13%,Marketing,https://dot.la/voyage-fires- staffers-downturn-continues- 2657548730.html,Unknown, $10.00 ,United States,False
Bitpanda,Vienna Non-U.S.,270.0,2022-06-24,27%,Crypto,https://brutkasten.com/bitpan da-kuendigungen/,Series C, $546.00 ,Austria,True
Give Legacy,Boston,,2022-06-24,,Healthcare,https://www.bizjournals.com/b oston/news/2022/06/24/male- fertility-startup-legacy- layoffs.html,Series B, $45.00 ,United States,False
Feather,New York City,,2022-06-24,,Retail,Internal memo,Unknown, $76.00 ,United States,False
Ethos Life,SF Bay Area,40.0,2022-06-24,12%,Finance,https://www.coverager.com/et hos-lays-off-40-employees/,Series D, $406.00 ,United States,False
Bestow,Dallas,41.0,2022-06-24,14%,Finance,https://coverager.com/layoffs- at-bestow/,Series C, $137.00 ,United States,False
Sunday,Atlanta,90.0,2022-06-24,23%,Finance,https://www.lesechos.fr/start- up/ecosysteme/la-fintech- sunday-coupe-dans-ses- effectifs-1415671,Series A, $124.00 ,United States,False
Postscript,SF Bay Area,43.0,2022-06-26,,Marketing,https://twitter.com/ringmybell er/status/15411544230654279 72,Series C, $106.00 ,United States,False
SafeGraph,SF Bay Area,27.0,2022-06-27,25%,Data,https://www.safegraph.com/bl og/setting-up-safegraph-for- a-prosperous-future,Series B, $61.00 ,United States,True
Banxa,Melbourne Non-U.S.,70.0,2022-06-27,30%,Crypto,https://decrypt.co/103891/aus tralian-crypto-firm-banxa-cut- staff-30-citing-another- crypto-winter,Post-IPO, $13.00 ,Australia,True
Cue,San Diego,170.0,2022-06-27,,Healthcare,https://www.genomeweb.com /business-news/cue-health- lay-170-people#.YrpDa-zML9t,Post-IPO, $999.00 ,United States,False
Udaan,Bengaluru Non-U.S.,180.0,2022-06-27,4%,Retail,https://inc42.com/buzz/exclusi ve-b2b-ecommerce-unicorn- udaan-lays-off-180- employees/,Unknown," $1,500.00 ",India,False
UiPath,New York City,210.0,2022-06-27,5%,Data,https://www.cnbc.com/2022/0 6/27/uipath-to-cut-5percent- of-its-workforce-as-part-of- restructuring-plan.html,Post-IPO," $2,000.00 ",United States,True
AppLovin,SF Bay Area,300.0,2022-06-27,12%,Marketing,https://www.bizjournals.com/s anjose/news/2022/06/29/appl ovin-lays-off-300-workers- report.html,Post-IPO," $1,600.00 ",United States,False
Amount,Chicago,,2022-06-27,18%,Finance,https://techcrunch.com/2022/ 06/27/fintech-amount-which- was-valued-at-1b-last-year- lays-off-18-of-staff/,Unknown, $283.00 ,United States,False
Huobi,Beijing Non-U.S.,300.0,2022-06-28,30%,Crypto,https://www.coindesk.com/bu siness/2022/06/28/huobi- global-could-cut-over-30- workforce-as-china- crackdown-leads-to-fall-in- revenue/,Unknown, $2.00 ,China,True
WhiteHat Jr,Mumbai Non-U.S.,300.0,2022-06-28,,Education,https://techcrunch.com/2022/ 06/28/byjus-unit-whitehat-jr- cuts-300-jobs/,Acquired, $11.00 ,India,False
Sidecar Health,Los Angeles,110.0,2022-06-28,40%,Healthcare,Internal memo,Series C, $163.00 ,United States,False
StockX,Detroit,80.0,2022-06-28,,Retail,https://www.complex.com/sne akers/stockx-layoffs- november-2022,Series E, $690.00 ,United States,False
Bright Machines,SF Bay Area,30.0,2022-06-28,8%,Data,https://www.calcalist.co.il/calc alistech/article/rkkjpsuc5,Unknown, $250.00 ,Israel,True
HealthMatch,Sydney Non-U.S.,18.0,2022-06-28,50%,Healthcare,https://www.smh.com.au/busi ness/entrepreneurship/i-m- heartbroken-wave-of-layoffs- begins-as-start-ups-fight-for- survival-20220628- p5ax6a.html,Series B, $20.00 ,Australia,False
Booktopia,Sydney Non-U.S.,,2022-06-28,,Retail,https://www.smh.com.au/busi ness/entrepreneurship/i-m- heartbroken-wave-of-layoffs- begins-as-start-ups-fight-for- survival-20220628- p5ax6a.html,Series A, $23.00 ,Australia,False
Nova Benefits,Bengaluru Non-U.S.,,2022-06-28,30%,Healthcare,https://entrackr.com/2022/06/ exclusive-nova-benefits-lays- off-30-of-its-workforce/,Series B, $41.00 ,India,False
Una Brands,Singapore Non-U.S.,,2022-06-28,10%,Retail,https://www.smh.com.au/busi ness/entrepreneurship/i-m- heartbroken-wave-of-layoffs- begins-as-start-ups-fight-for- survival-20220628- p5ax6a.html,Series A, $55.00 ,Singapore,False
Vezeeta,Dubai Non-U.S.,50.0,2022-06-28,10%,Healthcare,https://techcrunch.com/2022/ 06/28/egyptian-healthtech- startup-vezeeta-cuts-10-of- 500-person-staff/? tpcc=tcplustwitter,Series D, $71.00 ,United Arab E…,False
Clutch,Toronto Non-U.S.,76.0,2022-06-29,22%,Transportat…,https://betakit.com/clutch- cuts-staff-to-extend-runway- citing-market-conditions/,Series B, $153.00 ,Canada,False
Toppr,Mumbai Non-U.S.,350.0,2022-06-29,,Education,https://inc42.com/buzz/after- whitehat-jr-byjus-owned- toppr-lays-off-350- employees/,Acquired, $112.00 ,India,False
Unity,SF Bay Area,200.0,2022-06-29,4%,Other,https://kotaku.com/sources- unity-laying-off-hundreds-of- staffers-1849125482,Post-IPO," $1,300.00 ",United States,False
Niantic,SF Bay Area,85.0,2022-06-29,8%,Consumer,https://www.bloomberg.com/ news/articles/2022-06- 29/pokemon-go-creator- niantic-cancels-four-projects- cuts-jobs#xj4y7vzkg,Series D, $770.00 ,United States,False
AvantStay,Los Angeles,80.0,2022-06-29,,Travel,https://skift.com/blog/avantst ay-fires-a-significant-chunk- of-its-employee-roster/,Unknown, $811.00 ,United States,False
Qumulo,Seattle,80.0,2022-06-29,19%,Data,https://www.geekwire.com/20 22/seattle-startup-qumulo- lays-off-80-employees-ceo- cites-economic-conditions- and-reaching-profitability/,Series E, $347.00 ,United States,True
Parallel Wireless,Nashua,60.0,2022-06-29,,Infrastructu…,https://www.calcalist.co.il/calc alistech/article/skbud0tc9,Unknown, $8.00 ,United States,False
Modsy,SF Bay Area,,2022-06-29,,Retail,https://techcrunch.com/2022/ 06/29/modsy-shuts-down- design-services-cutting-roles- and-disrupting-orders/,Series C, $72.00 ,United States,False
Rows,Berlin Non-U.S.,18.0,2022-06-29,30%,Other,https://eco.sapo.pt/2022/08/0 5/onda-de-despedimentos- nas-tech-chega-a-unicornio- talkdesk/,Series B, $25.00 ,Germany,False
Baton,SF Bay Area,16.0,2022-06-29,25%,Transportat…,https://www.freightwaves.com /news/digital-drop-freight- platform-baton-lays-off-25- of-workforce,Series A, $13.00 ,United States,False
Substack,SF Bay Area,13.0,2022-06-29,14%,Media,https://www.nytimes.com/202 2/06/29/business/media/subst ack-layoffs.html,Series B, $82.00 ,United States,False
CommentSold,Huntsville,,2022-06-29,,Retail,Internal memo,Unknown,,United States,False
Degreed,SF Bay Area,,2022-06-29,15%,Education,https://www.linkedin.com/post s/degreed_a-note-from- degreed-ceo-david-blake- transparency-activity- 6947962317351395328-Xzw7/,Series D, $411.00 ,United States,False
HomeLight,SF Bay Area,,2022-06-29,19%,Real Estate,https://www.linkedin.com/fee d/update/urn:li:activity:694795 4503673409536/,Series D, $743.00 ,United States,False
Volt Bank,Sydney Non-U.S.,,2022-06-29,100%,Finance,https://www.smh.com.au/busi ness/banking-and- finance/neobank-volt-to-shut- down-return-deposits-to- customers-after-funding- struggles-20220629- p5axl1.html,Series E, $90.00 ,Australia,False
Oye Rickshaw,New Delhi Non-U.S.,40.0,2022-06-29,20%,Transportat…,https://inc42.com/buzz/exclusi ve-matrix-partners-backed- oye-rickshaw-lays-off-40- employees/,Unknown, $13.00 ,India,False
Enjoy,SF Bay Area,400.0,2022-06-30,18%,Retail,https://news.crunchbase.com/ public/bankruptcy-enjoy- apple-ron-johnson/,Post-IPO, $310.00 ,United States,False
Snyk,Boston,30.0,2022-06-30,,Security,https://snyk.io/blog/announci ng-organizational-updates-to- better-serve-our-customers/,Series F, $849.00 ,United States,True
Nate,New York City,30.0,2022-06-30,20%,Retail,https://www.theinformation.co m/articles/coatue-backed- shopping-startup-that- exaggerated-tech-capabilities- to-potential-investors-lays- off-20-of-staff,Series A, $47.00 ,United States,False
Stream,Boulder,20.0,2022-06-30,12%,Product,https://twitter.com/gergelyoro sz/status/15425590978784665 61? s=21&t=j_BKvp6OmyhkImXK MIPJIA,Series B, $58.00 ,United States,False
Crejo.Fun,Bengaluru Non-U.S.,170.0,2022-06-30,100%,Education,https://inc42.com/buzz/exclusi ve-matrix-backed-edtech- startup-crejo-fun-shuts-down/,Seed, $3.00 ,India,False
Abra,SF Bay Area,12.0,2022-06-30,5%,Crypto,https://www.theblock.co/post/ 155209/abra-becomes-latest- crypto-firm-to-cut-jobs,Series C, $106.00 ,United States,True
Finleap Connect,Hamburg Non-U.S.,14.0,2022-06-30,10%,Finance,https://paymentandbanking.c om/open-banking-anbieter- finleap-connect-vollzieht- wechsel-an-der-management- spitze/,Series A, $22.00 ,Germany,False
Sundae,SF Bay Area,,2022-06-30,15%,Real Estate,https://www.realtrends.com/ar ticles/sundae-lays-off-15-of- employees/,Series C, $135.00 ,United States,False
Stash Financial,New York City,40.0,2022-06-30,8%,Finance,https://www.forbes.com/sites/j effkauflin/2022/07/28/in- fintech-2022-is-becoming- the-year-of-layoffs/? sh=70ae2b0d20f3,Unknown, $480.00 ,United States,False
Secfi,SF Bay Area,,2022-06-30,,Finance,Internal memo,Series A, $7.00 ,United States,False
Gavelytics,Los Angeles,,2022-06-30,100%,Legal,https://www.lawnext.com/202 2/06/litigation-analytics- company-gavelytics-is- shutting-down-tomorrow.html,Seed, $5.00 ,United States,False
CircleUp,SF Bay Area,,2022-07-13,,Finance,https://docs.google.com/sprea dsheets/d/1ZfABpORnbm4dPf T- 45YtOIJ1SonNkXUWXLPXdeCc 5bg/edit#gid=0,Series C, $53.00 ,United States,False
Papa,Miami,,2022-07-13,15%,Other,https://www.linkedin.com/post s/andrew-parker- 30904417_today-was-a- tough-day-for-papa-in-light- activity- 6953092571120201728-HFiM/,Series D, $241.00 ,United States,False
Tonal,SF Bay Area,262.0,2022-07-13,35%,Fitness,https://www.cnbc.com/2022/0 7/13/peloton-rival-tonal-cuts- jobs-ahead-of-possible- recession-ipo.html,Series E, $450.00 ,United States,False
Fabric,New York City,120.0,2022-07-13,40%,Logistics,https://techcrunch.com/2022/ 07/13/fabric-lays-off-40-of- staff-as-it-shifts-strategy- from-service-to-platform/,Series C, $336.00 ,United States,False
Bryter,Berlin Non-U.S.,100.0,2022-07-13,30%,Product,https://twitter.com/pierre_van nier/status/154731174483768 5249,Series B, $89.00 ,Germany,False
Wave,Dakar Non-U.S.,300.0,2022-07-13,15%,Finance,https://techcrunch.com/2022/ 07/13/wave-a-stripe-backed- african-fintech-valued-at-1-7- billion-cut-15-of-its-staff-in- june/,Series A, $292.00 ,Senegal,False
Involves,Florianópolis Non-U.S.,70.0,2022-07-13,18%,Retail,https://www.baguete.com.br/n oticias/13/07/2022/involves- demite-18,Unknown, $23.00 ,Brazil,False
100 Thieves,Los Angeles,12.0,2022-07-13,,Consumer,https://www.dexerto.com/esp orts/100-thieves-layoffs- social-content-teams- 1870915/,Series C, $120.00 ,United States,False
Nuro,SF Bay Area,7.0,2022-07-13,,Transportat…,https://www.therobotreport.co m/nuro-lays-off-employees- in-texas-california-and- arizona/,Series D," $2,100.00 ",United States,False
Arrival,London Non-U.S.,,2022-07-13,30%,Transportat…,https://techcrunch.com/2022/ 07/13/arrival-to-slash-costs- cut-up-to-30-of-workforce-to- meet-on-ev-van-production- target/,Post-IPO, $629.00 ,United Kingdo…,False
ChowNow,Los Angeles,100.0,2022-07-13,20%,Food,https://techcrunch.com/2022/ 07/13/signaling-tough-times- ahead-chownow-lays-off- employees/,Series C, $64.00 ,United States,False
OpenSea,New York City,,2022-07-14,20%,Crypto,https://twitter.com/dfinzer/sta tus/1547648521607659522? s=20&t=DZC6VC- Ee3Eb3BnfHytydA,Series C, $427.00 ,United States,True
Cosuno,Berlin Non-U.S.,,2022-07-14,,Construction,Company exec,Series B, $45.00 ,Germany,False
Alto Pharmacy,SF Bay Area,,2022-07-14,,Healthcare,https://www.linkedin.com/new s/story/alto-gets-amazon- exec-lays-off-staff-4833793/,Series E, $560.00 ,United States,False
Kiavi,SF Bay Area,39.0,2022-07-14,7%,Real Estate,https://www.housingwire.com/ articles/fix-and-flip-lender- kiavi-lays-off-7-of-employees/,Series E, $240.00 ,United States,False
Unstoppable Domains,SF Bay Area,42.0,2022-07-14,25%,Crypto,https://twitter.com/matthewe gould/status/15476996094802 86208,Series B, $7.00 ,United States,True
The Mom Project,Chicago,54.0,2022-07-14,15%,HR,https://www.linkedin.com/post s/the-mom-project_today-we- shared-the-difficult-news- with-activity- 6953445024575475712-VHen/,Series C, $115.00 ,United States,False
Zego,London Non-U.S.,85.0,2022-07-14,17%,Finance,https://coverager.com/layoffs- at-zego/,Series C, $202.00 ,United Kingdo…,False
Bright Money,Bengaluru Non-U.S.,100.0,2022-07-15,50%,Finance,https://www.outlookindia.com /business/sequoia-backed- bright-money-is-latest-start- up-to-hand-out-pink-slips- news-211290?,Series A, $31.00 ,India,False
